"","cumsumT","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"cumsumT",1,-0.0864,0.0352,0.0287,0.0708,-0.1075,0.0038,0.0051,0.0943,-0.0896,0,0,0,0,0,0,0,0,0
"E_Scbltylag",-0.0864,1,0.1681,0.0636,0.271,-0.2992,-0.2854,-0.1616,-0.0819,0.1235,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",0.0352,0.1681,1,0.0512,0.0205,-0.3472,-0.171,-0.3018,0.3568,0.4019,0,0,0,0,0,0,0,0,0
"A_Cmpnlag",0.0287,0.0636,0.0512,1,0.0534,-0.2126,-0.1586,-0.3259,0.0066,-0.0997,0,0,0,0,0,0,0,0,0
"A_Rspctlag",0.0708,0.271,0.0205,0.0534,1,-0.041,-0.0505,-0.0663,-0.0304,0.2754,0,0,0,0,0,0,0,0,0
"N_Deprlag",-0.1075,-0.2992,-0.3472,-0.2126,-0.041,1,0.1832,0.2024,-0.2604,-0.351,0,0,0,0,0,0,0,0,0
"N_Anxtylag",0.0038,-0.2854,-0.171,-0.1586,-0.0505,0.1832,1,0.3878,-0.2114,-0.0876,0,0,0,0,0,0,0,0,0
"N_EmoVollag",0.0051,-0.1616,-0.3018,-0.3259,-0.0663,0.2024,0.3878,1,-0.0273,-0.1147,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",0.0943,-0.0819,0.3568,0.0066,-0.0304,-0.2604,-0.2114,-0.0273,1,0.4568,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",-0.0896,0.1235,0.4019,-0.0997,0.2754,-0.351,-0.0876,-0.1147,0.4568,1,0,0,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0,0,0.9985,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0,0.8009,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0,0.6684,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0,0,0.998,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8614,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7566,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7951,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9858,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7978
