"","cumsumT","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"cumsumT",0.9406,0.0172,-0.1097,0.168,0.1862,-0.1781,0.2668,-0.0619,-0.1189,-0.0927,0,0,0,0,0,0,0,0,0
"E_Scbltylag",0.0172,0.9936,0.736,0.4626,0.6379,-0.3717,-0.1473,-0.3411,0.4123,-0.1525,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",-0.1097,0.736,1,0.5211,0.4379,-0.3568,-0.3394,-0.4068,0.4715,0.1,0,0,0,0,0,0,0,0,0
"A_Cmpnlag",0.168,0.4626,0.5211,1,0.2763,-0.2606,-0.207,-0.1955,0.4426,0.1143,0,0,0,0,0,0,0,0,0
"A_Rspctlag",0.1862,0.6379,0.4379,0.2763,0.9915,-0.4085,-0.1653,-0.4492,0.2304,-0.0909,0,0,0,0,0,0,0,0,0
"N_Deprlag",-0.1781,-0.3717,-0.3568,-0.2606,-0.4085,0.9964,0.3168,0.3786,-0.1375,-0.1659,0,0,0,0,0,0,0,0,0
"N_Anxtylag",0.2668,-0.1473,-0.3394,-0.207,-0.1653,0.3168,0.9994,0.365,-0.3176,-0.1869,0,0,0,0,0,0,0,0,0
"N_EmoVollag",-0.0619,-0.3411,-0.4068,-0.1955,-0.4492,0.3786,0.365,0.9799,-0.1705,0.1765,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",-0.1189,0.4123,0.4715,0.4426,0.2304,-0.1375,-0.3176,-0.1705,0.9937,0.3057,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",-0.0927,-0.1525,0.1,0.1143,-0.0909,-0.1659,-0.1869,0.1765,0.3057,0.9618,0,0,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0,0,0.4031,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0,0.2805,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0,0.9004,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0,0,0.5486,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.511,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8567,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7022,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6864,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6854
