"","cumsumT","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"cumsumT",1,0.0528,-0.1305,0.1247,-0.2513,-0.1232,-0.2062,0.1385,0.2962,0.1524,0,0,0,0,0,0,0,0,0
"E_Scbltylag",0.0528,1,0.2908,0.2833,0.0418,0.24,-0.3825,0.1455,0.1928,0.3292,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",-0.1305,0.2908,1,-0.3134,-0.1192,-0.0358,-0.2593,-0.0136,0.1589,0.3032,0,0,0,0,0,0,0,0,0
"A_Cmpnlag",0.1247,0.2833,-0.3134,1,0.1986,0.1402,-0.0968,0.0024,0.0967,0.1433,0,0,0,0,0,0,0,0,0
"A_Rspctlag",-0.2513,0.0418,-0.1192,0.1986,1,0.1226,0.1283,-0.2534,0.0067,-0.0986,0,0,0,0,0,0,0,0,0
"N_Deprlag",-0.1232,0.24,-0.0358,0.1402,0.1226,1,0.2352,0.364,-0.4068,0.0842,0,0,0,0,0,0,0,0,0
"N_Anxtylag",-0.2062,-0.3825,-0.2593,-0.0968,0.1283,0.2352,1,0.1775,-0.4591,-0.4078,0,0,0,0,0,0,0,0,0
"N_EmoVollag",0.1385,0.1455,-0.0136,0.0024,-0.2534,0.364,0.1775,1,-0.0348,0.1345,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",0.2962,0.1928,0.1589,0.0967,0.0067,-0.4068,-0.4591,-0.0348,1,0.6818,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",0.1524,0.3292,0.3032,0.1433,-0.0986,0.0842,-0.4078,0.1345,0.6818,1,0,0,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0,0,0.6185,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0,0.4634,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0,0.9567,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0,0,0.7787,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5688,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.815,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6284,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2415,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5331
