"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl","cumsumT"
"E_Scblty",0.0975,0,0,0,0,0,0,0,0,0,0.1021,0.1018,0,0,0.0987,0,0,0,0
"E_EnerLev",0,0.1081,0,0,0,0,0,0,0,0,0,0,0,0.1106,0,0,0.1113,0,0
"A_Cmpn",0,0,0.0983,0,0,0,0,0,0,0,0,0,0.0983,0,0,0,0,0,0
"A_Rspct",0,0,0,0.1292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Depr",0,0,0,0,0.1118,0,0,0,0,0,0,0.1115,0,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,0.1296,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_EmoVol",0,0,0,0,0,0,0.1072,0,0,0,0,0,0,0,0,0,0.1072,0,0
"C_Prdctv",0,0,0,0,0,0,0,0.1031,0,0,0,0,0,0,0,0,0,0.1031,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0.099,0,0,0.099,0,0,0,0,0,0,0
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
