"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl","cumsumT"
"E_Scblty",0.1049,0,0,0,0,0,0,0,0,0,0.1054,0,0,0,0,0,0,0.1086,0
"E_EnerLev",0,0.1111,0,0.1058,0,0,0.1021,0.0984,0,0,0,0.0891,0,0,0,0.0918,0,0,0.0948
"A_Cmpn",0,0,0.155,0,0,0,0,0,0.158,0,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0,0,0.1242,0,0,0,0,0,0.1228,0,0,0,0,0,0,0,0,0.1263
"N_Depr",0,0,0,0.128,0.1328,0.1225,0,0,0,0,0,0,0.1162,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,0.1511,0,0,0,0,0.1521,0,0,0,0,0,0,0,0
"N_EmoVol",0,0,0,0,0,0.1463,0.1483,0,0,0,0,0,0.1407,0,0,0,0,0,0
"C_Prdctv",0,0,0,0,0.1367,0,0,0.144,0,0,0.1433,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0,0,0,0,0,0.1395,0,0.1403,0,0,0,0,0,0,0,0.1367,0,0
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
