"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl","cumsumT"
"E_Scblty",-0.1141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3242,0
"E_EnerLev",0,0.0949,0,0,0,0,0,0,0,0.5603,0,0,0,0,0,0,0,0,0
"A_Cmpn",0,0,0.0972,0,0,0,0,0,0,0,0,0,0.4068,0,0,0,0,0,0
"A_Rspct",0,0,0,-0.3005,0,0,0,0,0,0,0,0,0,0,0,-0.5954,0,0,0
"N_Depr",0,0,0,0,0.0267,0,0,0,-0.3394,0,0,0,0,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,0.0103,0,0,0,0,0,0,0,0,0,0.4748,0,0,0
"N_EmoVol",0,0,0,0,0.3301,0,-0.0909,0,0,0,0.3352,0,0,0.5034,0,0,0,-0.2498,0
"C_Prdctv",0,0,0,0,0,0,0,0.0125,0,0,0,0,0,-0.7035,0.3298,0,0,0,0
"C_Rspnbl",0,0,0,0,0,0,0,0,-0.0679,0,0,0,0,0,0,0,0,0,0
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
