"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl","cumsumT"
"E_Scblty",0.1566,0,0,0,0.1527,0,0,0,0,0,0,0,0,0,0,0.1817,0,0,0
"E_EnerLev",0,0.1419,0,0,0,0,0.1394,0,0,0.1447,0,0,0,0,0,0,0,0,0
"A_Cmpn",0,0,0.1884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0,0,0.2153,0,0,0,0,0,0,0,0,0,0.2878,0,0,0,0,0
"N_Depr",0.119,0,0.1331,0,0.1116,0.1536,0.1079,0.132,0,0,0,0,0.1343,0,0.1327,0,0,0,0
"N_Anxty",0,0.1497,0,0,0,0.1542,0.1409,0,0,0.146,0.1644,0.1254,0,0,0,0.1453,0,0,0
"N_EmoVol",0,0,0,0,0,0,0.1972,0,0,0,0,0,0,0.2287,0,0,0.2021,0,0
"C_Prdctv",0,0,0,0,0,0,0,0.1419,0,0,0.1737,0,0,0,0,0,0,0.1691,0
"C_Rspnbl",0,0.1787,0,0,0,0,0,0.1662,0.1621,0,0.1356,0,0,0.1286,0,0,0,0,0
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
