"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl","cumsumT"
"E_Scblty",0.2218,0,0,0,0.1967,0,0.181,0.1544,0,0,0,0,0,0.2077,0,0,0.2958,0.3138,0
"E_EnerLev",0.1412,0.1578,0.152,0,0,0,0.1509,0,0,0,0,0,0,0,0,0,0,0,0.1582
"A_Cmpn",0,0,0.1832,0,0,0,0,0,0,0,0.1684,0,0,0,0,0,0,0,0
"A_Rspct",0,0,0,0.2007,0,0,0,0,0,0,0,0.2013,0,0,0,0,0.2749,0,0
"N_Depr",0,0,0,0,0.1767,0,0,0,0,0,0.1502,0,0,0,0,0.1695,0,0,0
"N_Anxty",0,0,0,0,0,0.1626,0,0,0.154,0,0.1473,0,0,0,0,0,0.1597,0,0
"N_EmoVol",0,0,0.1793,0,0,0,0.1749,0,0,0,0,0,0,0,0,0,0,0,0
"C_Prdctv",0.1722,0,0.1653,0,0,0,0,0.1466,0,0,0,0,0.2013,0,0,0,0,0,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0.1467,0.1705,0,0,0,0,0.1494,0,0.1338,0,0
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
