"E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl","cumsumT"
45,0,2,0,1,0,1,1,3,0,13,3,3,4,3,1,6,1,1
3,45,2,4,2,1,6,4,3,14,0,3,2,10,3,0,5,2,1
2,1,45,1,1,1,3,0,2,8,8,0,7,8,0,2,1,1,5
4,3,0,45,7,0,4,3,1,4,5,8,0,4,1,4,3,3,4
4,3,2,3,45,2,1,4,1,5,7,2,6,0,11,8,2,2,3
1,1,2,0,5,45,4,1,2,1,4,2,3,15,0,6,3,2,9
3,0,1,2,3,4,45,1,3,3,2,3,1,21,13,0,3,3,6
3,2,1,2,2,2,1,45,1,2,6,0,4,7,3,3,0,19,1
1,2,3,3,2,1,6,1,45,2,6,1,4,3,5,5,10,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
