"","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur","cumsumT"
"A_Cmpn",0.1636,0,0,0,0,0,0,0,0,0,0,0.1533,0,0,0,0,0.1876,0,0,0,0,0.1832,0,0,0,0.1766,0,0,0.1955,0,0
"A_Rspct",0,0.1383,0,0,0.1507,0.1491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2323,0,0,0.2299,0,0,0,0,0
"A_Trust",0,0,0.1031,0,0.119,0,0.1024,0.0939,0,0,0,0,0.1038,0.1299,0,0,0,0,0.114,0.1136,0,0,0,0,0,0.1014,0,0,0.1279,0,0
"C_Org",0,0,0,0.1466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1877,0.185,0,0,0,0,0,0
"C_Prdctv",0,0,0.1238,0.146,0.1385,0,0,0,0,0.1526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1305,0,0
"C_Rspnbl",0.1186,0,0,0,0.1168,0.115,0,0,0,0,0.1106,0,0,0,0,0.1175,0,0,0,0,0,0,0,0,0.116,0,0,0,0,0.1161,0
"E_Assert",0,0,0,0,0,0,0.1466,0,0,0,0,0,0.1526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1943,0,0.1506
"E_EnerLev",0,0,0,0,0,0,0,0.1956,0,0,0.1946,0,0,0,0,0,0,0,0,0,0.1549,0,0,0.1827,0,0,0,0,0.2407,0.2618,0
"E_Scblty",0,0,0,0,0,0,0,0,0.2103,0,0,0,0,0,0,0,0,0,0,0,0,0.2371,0,0,0,0.2744,0,0,0,0.2796,0
"N_Anxty",0,0.0615,0.0619,0.0731,0,0.0706,0.0641,0,0,0.0963,0,0,0.0911,0.0874,0,0,0,0.0867,0,0,0,0,0,0,0,0,0.0642,0.067,0.0849,0,0
"N_Depr",0,0,0.1045,0.1016,0,0,0.1054,0,0,0,0.0998,0,0,0,0,0.1153,0,0,0,0,0.1053,0,0.1232,0,0,0,0,0,0,0,0
"N_EmoVol",0,0,0.0816,0,0,0,0,0,0,0,0,0.0841,0,0,0,0,0.0896,0,0,0,0,0.0851,0,0.1005,0,0.0937,0,0,0,0,0.0917
"O_AesSens",0,0,0,0,0,0,0,0.2191,0,0,0,0.2325,0.1885,0,0,0,0,0,0.2588,0,0,0,0,0.2481,0,0,0,0,0,0,0
"O_CrtvImag",0,0,0,0,0,0,0,0.1026,0.1279,0,0.1024,0.0861,0.0692,0.0869,0.1131,0.0955,0.0928,0.106,0.0969,0,0,0,0,0,0.107,0.0827,0,0.0757,0,0.0931,0.0849
"O_IntCur",0.2561,0.2444,0,0,0,0.354,0,0,0,0,0,0,0,0,0.3939,0.2974,0,0,0,0,0,0,0,0,0,0,0,0.5153,0,0,0
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
