"","cumsumT","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur"
"cumsumT",1,0.1167,0.0837,-0.0611,0.0123,-0.1235,-0.0674,0.1352,0.0923,0.117,0.4018,0.0425,0.1911,-0.0207,0.0249,0.1293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Cmpnlag",0.1167,1,0.2912,0.0344,0.107,-0.1172,-0.0555,0.0836,0.2885,0.2574,-0.0761,-0.0261,-0.012,0.1209,0.0782,0.2313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspctlag",0.0837,0.2912,1,0.1472,0.0886,-0.0188,0.0424,0.1895,0.2453,0.0718,-0.0542,0.0761,-0.2721,0.0454,-0.0031,0.2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Trustlag",-0.0611,0.0344,0.1472,1,0.0704,0.0578,0.4085,0.1064,0.2372,0.1376,0.0146,-0.2616,-0.3898,-0.0053,0.3608,-0.1085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Orglag",0.0123,0.107,0.0886,0.0704,1,0.1857,0.1929,0.2885,0.1934,0.1384,-0.0794,0.0072,-0.1954,0.1785,0.0804,0.1879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",-0.1235,-0.1172,-0.0188,0.0578,0.1857,1,0.3621,0.1399,0.2127,-0.0227,-0.159,0.0058,-0.201,-0.0841,0.308,-0.0295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",-0.0674,-0.0555,0.0424,0.4085,0.1929,0.3621,1,0.1668,0.2031,0.169,-0.0907,0.0383,-0.3744,-0.214,0.3783,0.0678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_Assertlag",0.1352,0.0836,0.1895,0.1064,0.2885,0.1399,0.1668,1,0.2154,0.122,-0.3375,0.2663,-0.0388,0.1647,0.122,0.3966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",0.0923,0.2885,0.2453,0.2372,0.1934,0.2127,0.2031,0.2154,1,0.2822,-0.0522,-0.0922,-0.203,0.1435,0.2383,0.3326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_Scbltylag",0.117,0.2574,0.0718,0.1376,0.1384,-0.0227,0.169,0.122,0.2822,1,-0.2001,-0.1,0.2193,-0.054,0.0631,0.2582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Anxtylag",0.4018,-0.0761,-0.0542,0.0146,-0.0794,-0.159,-0.0907,-0.3375,-0.0522,-0.2001,1,-0.0042,0.0893,0.1237,-0.0606,-0.2079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Deprlag",0.0425,-0.0261,0.0761,-0.2616,0.0072,0.0058,0.0383,0.2663,-0.0922,-0.1,-0.0042,1,0.0658,0.1288,-0.2353,-0.0878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_EmoVollag",0.1911,-0.012,-0.2721,-0.3898,-0.1954,-0.201,-0.3744,-0.0388,-0.203,0.2193,0.0893,0.0658,1,0.1208,-0.3963,0.1443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O_AesSenslag",-0.0207,0.1209,0.0454,-0.0053,0.1785,-0.0841,-0.214,0.1647,0.1435,-0.054,0.1237,0.1288,0.1208,1,-0.1565,0.2631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O_CrtvImaglag",0.0249,0.0782,-0.0031,0.3608,0.0804,0.308,0.3783,0.122,0.2383,0.0631,-0.0606,-0.2353,-0.3963,-0.1565,1,0.0698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O_IntCurlag",0.1293,0.2313,0.2016,-0.1085,0.1879,-0.0295,0.0678,0.3966,0.3326,0.2582,-0.2079,-0.0878,0.1443,0.2631,0.0698,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7615,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8963,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Trust",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7636,0,0,0,0,0,0,0,0,0,0,0,0
"C_Org",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8032,0,0,0,0,0,0,0,0,0,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.733,0,0,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.778,0,0,0,0,0,0,0,0,0
"E_Assert",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6619,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7878,0,0,0,0,0,0,0
