"","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur","cumsumT"
"A_Cmpn",0.3077,0,0,0,0,0,-0.4587,0,0,0,0.5882,0,0,0,0,0,0,0,0.3094,0,0.3201,0.6623,0,0,0,-0.6364,0.2645,0,-0.9692,0,0.2602
"A_Rspct",0,0.0881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0499,-0.5801,-0.397
"A_Trust",0,0,-0.4693,0,0,0,0,0,0,0,0,0,0,0,0,0,0.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Org",0,0,0,0.0282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5298,0.3248,0,0,0,0,0,0,0,0,0,0
"C_Prdctv",0,0,0,0,0.2886,0,0,0,-0.343,0,-0.3931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0.3425,-0.3073,0,0,-0.0308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2984,0,0,0,0,0,0
"E_Assert",0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0.5601,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0.2063,0,0,-0.4032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6719,0,0,0.2071,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,-0.4625,0,0.2405,0,0,0,0.2113,0,-0.4444,0,0,0,0,0.1879,0,0,-0.715,-0.4833,0,0,0,0.2215,0
"N_Anxty",0,0.3082,0,0,0,0,0,0,-0.254,0.0894,0,0,0.2,-0.3091,0,0,-0.5729,-0.2852,0,0,0,-0.5626,0.3883,0,0,0,0.425,0,0,-0.2414,0
"N_Depr",0,0,0,-0.3683,0,0,0,0,0,0,0.2989,0,0,0,0,0,0,0,0,0,0,0,-0.5358,0.5804,0,0,0,0,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0.2753,0,0.1251,0,0,0,0,0,-0.6806,0,0,0,0,0,0,0,0.2309,0,0,0,0.2541,0
"O_AesSens",0,0,0,0,0,0,0,0,0,0,0,0,-0.0493,0,0,0,0,0,0,0,0,0,0,0.4765,0,0,0,0,0,0,0
"O_CrtvImag",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0891,0,1.6749,0,0,0,0,0,0,0,0,1.2703,0,0,0,0,0,0
"O_IntCur",0,0,0,0,0,0,0,0,0.2773,0,0,0,0,0,-0.2277,0,0,0.3644,0,0,0,0,0,0,0,0,0,0.1925,0.5276,0,0
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
