"","cumsumT","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur"
"cumsumT",1,0.09,-0.0493,0.1035,0.076,0.3071,0.2793,0.2214,-0.0152,0.1488,-0.1734,-0.1721,-0.1633,0.064,0.0181,0.158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Cmpnlag",0.09,1,0.1717,0.186,0.0014,0.0439,0.0236,0.0462,0.1682,0.2417,-0.2317,-0.2614,-0.1069,0.0828,0.1359,0.2786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspctlag",-0.0493,0.1717,1,0.2173,0.2518,0.1522,0.1621,0.0506,0.1021,0.0047,-0.0713,-0.2245,0.12,-0.0947,0.1528,0.1283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Trustlag",0.1035,0.186,0.2173,1,-0.0236,0.2091,0.1804,-0.074,0.1213,0.1153,-0.1695,-0.3103,-0.2858,0.0141,0.0583,-0.0013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Orglag",0.076,0.0014,0.2518,-0.0236,1,0.3727,0.1211,0.0994,0.3547,0.047,0.0776,-0.0572,-0.1568,-0.0809,0.2807,0.2088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",0.3071,0.0439,0.1522,0.2091,0.3727,1,0.3511,0.2261,0.1928,0.0435,0.128,-0.3434,-0.1555,-0.2163,0.5768,0.3316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",0.2793,0.0236,0.1621,0.1804,0.1211,0.3511,1,0.2769,0.1769,0.2614,-0.0628,-0.1847,-0.0905,-0.0046,0.1998,0.2619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_Assertlag",0.2214,0.0462,0.0506,-0.074,0.0994,0.2261,0.2769,1,0.1487,0.2892,-0.0796,-0.1513,-0.1365,-0.0679,0.3971,0.3254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",-0.0152,0.1682,0.1021,0.1213,0.3547,0.1928,0.1769,0.1487,1,0.4968,3e-04,-0.3181,-0.2152,0.275,0.4356,0.1842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_Scbltylag",0.1488,0.2417,0.0047,0.1153,0.047,0.0435,0.2614,0.2892,0.4968,1,-0.232,-0.3668,-0.187,0.1173,0.1348,0.1769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
