"","cumsumT","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur"
"cumsumT",0.9586,-0.1316,-0.1632,-0.1009,-0.0032,-0.2168,-0.1087,-0.1285,-0.022,-0.1036,0.0918,0.0333,0.1846,0.0382,-0.1105,-0.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Cmpnlag",-0.1316,0.9999,0.3982,0.3478,0.0923,0.133,0.1217,-0.087,-0.079,0.4003,-0.524,-0.2519,-0.2984,0.07,0.3816,0.0684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspctlag",-0.1632,0.3982,1,0.3191,0.1024,0.1634,0.2594,0.1066,0.4136,0.3504,-0.2158,-0.395,-0.1091,0.1151,0.0704,0.1223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Trustlag",-0.1009,0.3478,0.3191,0.9951,-0.1476,0.0791,0.2219,-0.0701,0.142,0.2505,-0.353,-0.4722,-0.2247,0.3571,0.3278,0.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Orglag",-0.0032,0.0923,0.1024,-0.1476,0.995,0.3125,0.1624,0.1321,-0.0619,0.2044,-0.346,-0.1028,-0.3129,-0.0613,0.0506,0.1663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",-0.2168,0.133,0.1634,0.0791,0.3125,0.9999,0.308,0.2024,0.3001,0.1986,-0.1955,-0.4166,-0.254,3e-04,0.1937,0.1306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",-0.1087,0.1217,0.2594,0.2219,0.1624,0.308,0.9904,0.1629,0.42,0.1588,-0.2028,-0.4084,-0.22,0.1462,0.0883,0.0573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_Assertlag",-0.1285,-0.087,0.1066,-0.0701,0.1321,0.2024,0.1629,0.9952,0.2146,0.1546,-0.045,-0.1106,-0.1212,0.1004,-0.1281,0.163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",-0.022,-0.079,0.4136,0.142,-0.0619,0.3001,0.42,0.2146,0.9997,0.109,0.1259,-0.4352,0.1756,0.2125,0.1044,0.1173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_Scbltylag",-0.1036,0.4003,0.3504,0.2505,0.2044,0.1986,0.1588,0.1546,0.109,0.9964,-0.452,-0.2519,-0.3061,0.1633,0.2768,0.2249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
