"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"E_Scbltylag",0.9721,0.5029,0.1809,-0.2018,0.0297,-0.2533,-0.2095,0.4224,0.1648,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",0.5029,0.9563,0.0242,-0.1175,0.0451,-0.1228,-0.2444,0.3718,0.3826,0,0,0,0,0,0,0,0,0
"A_Cmpnlag",0.1809,0.0242,0.9713,0.0547,0.073,-0.0625,-0.1962,-0.1819,0.1665,0,0,0,0,0,0,0,0,0
"A_Rspctlag",-0.2018,-0.1175,0.0547,0.9519,0.1767,-0.0988,-0.0791,0.0027,0.1304,0,0,0,0,0,0,0,0,0
"N_Deprlag",0.0297,0.0451,0.073,0.1767,0.9906,0.0591,-0.1416,-0.105,0.229,0,0,0,0,0,0,0,0,0
"N_Anxtylag",-0.2533,-0.1228,-0.0625,-0.0988,0.0591,0.9435,0.1799,-0.2224,0.0589,0,0,0,0,0,0,0,0,0
"N_EmoVollag",-0.2095,-0.2444,-0.1962,-0.0791,-0.1416,0.1799,0.9943,0.1017,-0.1922,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",0.4224,0.3718,-0.1819,0.0027,-0.105,-0.2224,0.1017,0.997,0.2447,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",0.1648,0.3826,0.1665,0.1304,0.229,0.0589,-0.1922,0.2447,0.992,0,0,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0,0.8544,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0.5504,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0.7066,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0,0.8522,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0,0,0,0.9706,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6941,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.822,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3774,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7062
