"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"E_Scbltylag",1,0.1891,-0.1146,0.1611,0.3561,0.1025,0.0918,0.1913,0.0177,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",0.1891,1,-0.3405,0.1897,-0.3988,-0.0379,-0.3969,0.2539,0.3846,0,0,0,0,0,0,0,0,0
"A_Cmpnlag",-0.1146,-0.3405,1,0.1467,0.1287,0.3841,0.1864,-0.2178,-0.5132,0,0,0,0,0,0,0,0,0
"A_Rspctlag",0.1611,0.1897,0.1467,1,-0.049,0.2363,-0.0797,0.4718,0.1587,0,0,0,0,0,0,0,0,0
"N_Deprlag",0.3561,-0.3988,0.1287,-0.049,1,0.3209,0.4031,-0.2251,-0.1968,0,0,0,0,0,0,0,0,0
"N_Anxtylag",0.1025,-0.0379,0.3841,0.2363,0.3209,1,0.2208,0.1288,-0.4506,0,0,0,0,0,0,0,0,0
"N_EmoVollag",0.0918,-0.3969,0.1864,-0.0797,0.4031,0.2208,1,-0.463,-0.3717,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",0.1913,0.2539,-0.2178,0.4718,-0.2251,0.1288,-0.463,1,0.2965,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",0.0177,0.3846,-0.5132,0.1587,-0.1968,-0.4506,-0.3717,0.2965,1,0,0,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0,0.7751,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0.0493,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0.4766,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0,0.8487,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0,0,0,0.1485,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5426,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6166,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2543,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0896
