"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"E_Scbltylag",0.9992,0.5802,0.3384,0.2665,-0.3721,-0.0656,-0.0219,0.1767,0.2345,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",0.5802,0.9945,0.354,0.3776,-0.1478,0.094,0.134,0.1132,0.0285,0,0,0,0,0,0,0,0,0
"A_Cmpnlag",0.3384,0.354,0.9874,0.2457,-0.0886,-0.04,-0.0139,-0.0483,0.0744,0,0,0,0,0,0,0,0,0
"A_Rspctlag",0.2665,0.3776,0.2457,0.9917,-0.0847,-0.006,-0.005,0.0323,0.1229,0,0,0,0,0,0,0,0,0
"N_Deprlag",-0.3721,-0.1478,-0.0886,-0.0847,0.9983,0.0016,0.3244,-0.2968,-0.3821,0,0,0,0,0,0,0,0,0
"N_Anxtylag",-0.0656,0.094,-0.04,-0.006,0.0016,0.9985,0.2315,0.1048,0.0904,0,0,0,0,0,0,0,0,0
"N_EmoVollag",-0.0219,0.134,-0.0139,-0.005,0.3244,0.2315,0.999,0.0323,-0.1374,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",0.1767,0.1132,-0.0483,0.0323,-0.2968,0.1048,0.0323,0.9963,0.572,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",0.2345,0.0285,0.0744,0.1229,-0.3821,0.0904,-0.1374,0.572,0.9994,0,0,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0,0.7937,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0.6242,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0.7753,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0,0.7673,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0,0,0,0.7353,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9978,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.913,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5784,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7875
