"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"E_Scbltylag",0.9807,0.3331,0.0704,0.0188,-0.2532,-0.099,-0.1812,0.3153,0.2979,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",0.3331,0.9868,0.1535,0.001,-0.4219,-0.4437,-0.3183,0.215,0.2002,0,0,0,0,0,0,0,0,0
"A_Cmpnlag",0.0704,0.1535,0.9891,0.4441,-0.0965,-0.1806,-0.0826,-0.031,-0.1033,0,0,0,0,0,0,0,0,0
"A_Rspctlag",0.0188,0.001,0.4441,0.9824,-0.2076,-0.1241,-0.2751,-0.0492,-0.0317,0,0,0,0,0,0,0,0,0
"N_Deprlag",-0.2532,-0.4219,-0.0965,-0.2076,0.9858,0.5243,0.4694,-0.269,-0.1711,0,0,0,0,0,0,0,0,0
"N_Anxtylag",-0.099,-0.4437,-0.1806,-0.1241,0.5243,0.9975,0.4634,-0.1902,-0.2382,0,0,0,0,0,0,0,0,0
"N_EmoVollag",-0.1812,-0.3183,-0.0826,-0.2751,0.4694,0.4634,0.9917,-0.2551,-0.3146,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",0.3153,0.215,-0.031,-0.0492,-0.269,-0.1902,-0.2551,0.9999,0.5816,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",0.2979,0.2002,-0.1033,-0.0317,-0.1711,-0.2382,-0.3146,0.5816,0.993,0,0,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0,0.8576,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0.7606,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0.929,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0,0.7819,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0,0,0,0.9353,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.565,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9874,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6441,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.864
