"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"E_Scblty",0.098,0,0,0,0,0,0,0,0,0,0.0965,0,0,0,0,0,0,0
"E_EnerLev",0,0.1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Cmpn",0,0,0.0999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0,0,0.1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Depr",0,0,0,0,0.101,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,0.0965,0,0,0,0,0,0,0,0,0,0.0969,0,0
"N_EmoVol",0,0,0,0,0,0,0.0898,0,0,0,0,0,0,0.0899,0,0,0,0
"C_Prdctv",0,0,0,0,0,0,0,0.1009,0,0,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0.1009,0,0,0,0,0,0,0,0,0
