"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"E_Scbltylag",1,0.3224,0.3925,0.3208,-0.296,-0.0889,-0.2032,0.1142,0.161,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",0.3224,1,0.1798,0.2865,-0.4492,-0.1157,-0.3385,0.2292,0.3697,0,0,0,0,0,0,0,0,0
"A_Cmpnlag",0.3925,0.1798,1,0.2513,-0.3734,-0.2978,-0.1794,-0.038,0.1012,0,0,0,0,0,0,0,0,0
"A_Rspctlag",0.3208,0.2865,0.2513,1,-0.4143,-0.1321,-0.1925,0.1453,0.1616,0,0,0,0,0,0,0,0,0
"N_Deprlag",-0.296,-0.4492,-0.3734,-0.4143,1,0.4278,0.5064,-0.1666,-0.3322,0,0,0,0,0,0,0,0,0
"N_Anxtylag",-0.0889,-0.1157,-0.2978,-0.1321,0.4278,1,0.1725,-0.1488,-0.0923,0,0,0,0,0,0,0,0,0
"N_EmoVollag",-0.2032,-0.3385,-0.1794,-0.1925,0.5064,0.1725,1,-0.3324,-0.3244,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",0.1142,0.2292,-0.038,0.1453,-0.1666,-0.1488,-0.3324,1,0.5012,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",0.161,0.3697,0.1012,0.1616,-0.3322,-0.0923,-0.3244,0.5012,1,0,0,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0,0.7494,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0.8122,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0.8744,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0,0.8192,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0,0,0,0.755,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8199,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8566,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9976,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7558
