"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"E_Scbltylag",0.9945,0.2795,0.1876,0.118,-0.0391,-0.1733,0.0768,0.1075,0.3254,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",0.2795,0.9852,0.2437,0.2154,-0.1469,-0.0695,-0.2178,0.2703,0.3109,0,0,0,0,0,0,0,0,0
"A_Cmpnlag",0.1876,0.2437,0.9993,0.1631,0.0272,-0.0756,-0.1164,-0.0243,0.1004,0,0,0,0,0,0,0,0,0
"A_Rspctlag",0.118,0.2154,0.1631,0.9993,0.0218,-0.0734,-0.2983,0.1175,0.2154,0,0,0,0,0,0,0,0,0
"N_Deprlag",-0.0391,-0.1469,0.0272,0.0218,0.9752,0.1202,0.1331,-0.0746,-0.0927,0,0,0,0,0,0,0,0,0
"N_Anxtylag",-0.1733,-0.0695,-0.0756,-0.0734,0.1202,0.9986,0.097,-0.1541,-0.0638,0,0,0,0,0,0,0,0,0
"N_EmoVollag",0.0768,-0.2178,-0.1164,-0.2983,0.1331,0.097,0.9838,-0.1751,-0.2591,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",0.1075,0.2703,-0.0243,0.1175,-0.0746,-0.1541,-0.1751,0.9844,0.3035,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",0.3254,0.3109,0.1004,0.2154,-0.0927,-0.0638,-0.2591,0.3035,0.9879,0,0,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0,0.9769,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0.8608,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0.9944,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0,0.818,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0,0,0,0.9578,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6423,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8819,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8628,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8684
