"","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur","cumsumT"
"A_Cmpn",0.1143,0,0,0.1198,0,0.1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1195,0,0,0,0,0.1169,0,0
"A_Rspct",0,0.1375,0,0,0,0,0,0,0,0,0.1316,0,0,0,0,0.1269,0,0,0,0,0,0,0,0,0,0.127,0,0,0,0,0
"A_Trust",0,0,0.1058,0,0.0958,0,0,0,0,0,0,0.1151,0.1102,0,0,0.0964,0,0,0,0,0,0,0.1009,0.1073,0,0,0.105,0.1004,0,0,0.0969
"C_Org",0,0,0,0.1728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3283,0,0,0,0,0,0,0,0,0,0,0
"C_Prdctv",0,0,0,0,0.1949,0,0,0,0.2236,0.2582,0,0,0,0,0,0,0.2389,0,0.4791,0,0,0,0,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0.1342,0.1216,0,0,0.1241,0,0.1378,0.1491,0,0,0,0,0,0.1294,0,0,0.1207,0.1241,0,0,0,0,0,0,0,0,0,0,0.1931,0
"E_Assert",0,0.1315,0,0,0,0.111,0.1312,0,0.1142,0.1297,0,0.1159,0,0,0,0,0.1081,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0.1445,0,0,0,0,0,0,0,0,0,0,0,0.1378,0,0,0,0,0,0,0,0,0,0,0
"E_Scblty",0,0.1161,0,0,0,0,0,0.1184,0.1167,0,0,0,0,0.1076,0,0,0,0,0,0,0,0,0,0,0,0.116,0,0,0,0,0.1202
"N_Anxty",0,0,0,0,0,0.1139,0,0,0,0.1245,0,0,0,0,0,0,0.1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1218
"N_Depr",0,0,0,0,0,0,0,0.1482,0,0,0.1404,0,0,0,0,0,0,0,0,0,0.1378,0,0.141,0,0,0,0,0,0,0,0
"N_EmoVol",0,0.1413,0,0,0,0,0,0,0,0,0,0.1413,0,0,0,0,0.1395,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O_AesSens",0,0.1283,0,0,0,0,0,0.1366,0,0,0,0,0.1199,0,0,0,0,0,0,0,0,0,0,0.1455,0,0.1296,0,0,0,0,0
"O_CrtvImag",0,0,0,0.1267,0,0,0,0,0,0,0,0,0,0.126,0,0,0,0,0,0.1296,0,0,0,0,0,0.1292,0.1382,0,0,0,0
"O_IntCur",0,0,0,0,0.1075,0,0,0,0.1255,0,0.1082,0,0.1104,0,0.1195,0,0,0,0,0,0.136,0,0,0,0,0,0,0,0,0,0
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
