"","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur","cumsumT"
"A_Cmpn",-0.1046,0.3248,0,0,0,0,0,0,0,-0.3542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3103,0,0,0,0
"A_Rspct",0,0.0589,0,0,0,0,0,0,-0.3214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3401,0,0
"A_Trust",0,0,0.032,0,0,0,0,0,0.2652,0,0,0.3588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Org",0,0,0,-0.1445,0.4446,0,0,0,0,0,0,0.3441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Prdctv",0,0,0,0,0.0376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444,0,0,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0,0,0,0,-0.1132,0,0,0,0,0,0,0,0,0,0,0,0,0.5995,0,0,0,0,0,0,0,0,0,0,0,0
"E_Assert",0,0,0,0,0,0,0.0233,0,0,0,0,0,0,0,0,0,0,0.3347,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0.1635,0,0,0,0,0,0,0,0,0,0,0,0,0.4231,0,0,0,0,0,-0.3428,0,0,0.298,0
"E_Scblty",0,0,0,0,0,0,0,0,0.0781,0,0,0,0,0,0,0,0,0,0.3695,0,0,0,0,0,0,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,-0.2665,-0.0585,0,0,0,0,0,0,0,-0.4412,0,0,0,0,0,-0.2863,0,0,0,0,0,0,0
"N_Depr",-0.3814,0,0,0,0,0,0,0,0,0,-0.244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4908,0,-0.5961,0,0
"N_EmoVol",0,0,0.2814,0,0.4303,-0.5727,0,0,0,0,-0.4934,0.0842,-0.4705,-0.5659,0,0,0,0,0,0.2835,0,0,0,0,0.2852,0.7796,0,0,0,0,0
"O_AesSens",0,0,0,0,0,-0.237,0,0,0,0,0,0,-0.0417,0.293,0,0,0,0,0,0,-0.3111,0,0,0,0,0,0,0,0,-0.4644,0
"O_CrtvImag",0,0,0,0,0.28,0,-0.2536,0,0,0,0,0,0,-0.1462,0,0,0,0.4547,0.3061,0,0,0,0,0,0,0,0.3503,0,0,0,0
"O_IntCur",0,-0.4398,0,0,0,0,0,0,0,0,-0.3082,0,0,0,-0.1403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
