"","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur","cumsumT"
"A_Cmpn",0.15,0,0.2656,0.1612,0,0,0,0,0.1471,0,0,0.1646,0.1466,0.1158,0.2394,0,0.1531,0,0,0,0,0.1149,0,0,0,0.1195,0,0,0,0,0
"A_Rspct",0.0329,0.0296,0.0423,0.0235,0.0566,0.0462,0.0372,0,0.0385,0.0144,0.0353,0.0449,0.0212,0.0304,0.0339,0.0512,0,0.0425,0.0398,0.0421,0.0346,0.053,0.0203,0.0272,0.0161,0.0365,0.0209,0.0286,0.0151,0.0395,0.0203
"A_Trust",0.056,0.0504,0.082,0,0,0,0,0.0626,0,0.0463,0.0607,0,0.0855,0.0486,0.1289,0.0574,0.0683,0,0.0651,0,0.0501,0.0891,0,0.0632,0.0605,0,0,0,0,0.071,0
"C_Org",0,0,0,0.146,0.1757,0,0,0.1299,0,0,0,0,0.1432,0,0,0,0,0,0,0,0,0,0,0,0.165,0,0,0,0,0.1144,0
"C_Prdctv",0,0,0,0.1027,0.1323,0,0.1107,0,0.0848,0,0,0,0,0,0.1239,0,0.1018,0,0.1092,0,0.1049,0.1091,0,0,0,0,0.1428,0,0.0916,0.1761,0
"C_Rspnbl",0,0,0,0,0,6.0239,0,27.5628,0,14.9911,0,0,0,0,0,0,0,0,0,23.3145,0,0,0,0,0,60.5544,0,0,0,0,0
"E_Assert",0,0.0985,0,0,0.1209,0,0.1163,0,0,0.0955,0,0,0,0,0,0,0,0.1299,0,0,0,0,0,0,0,0,0,0,0,0.1292,0
"E_EnerLev",0,0,0,0,0,0,0,0.1106,0,0,0,0.1126,0,0,0,0,0,0,0,0.1408,0,0,0,0.0985,0,0.1172,0,0.1215,0,0,0.1049
"E_Scblty",0,0,0,0,0,0.1715,0,0,0.1718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Anxty",0,0.1845,0,0,0.3522,0.2674,0.2137,0,0,0.1299,0.1326,0,0.2007,0.1552,0.2251,0.1785,0,0.2424,0.3195,0.2439,0,0,0.2246,0.1839,0,0,0,0,0.1664,0,0.1688
"N_Depr",0,0,0,0,0,0.1609,0,0.2311,0.1929,0,0.1885,0,0.2495,0.1991,0.2605,0.1992,0.2079,0.233,0,0.2297,0.2701,0,0,0,0,0,0,0,0,0,0.1729
"N_EmoVol",0,0,0.153,0,0,0.1107,0.1089,0,0.1229,0,0,0.1628,0.1106,0,0,0,0.1721,0.1198,0,0,0.1168,0,0,0.1252,0.1037,0,0,0,0,0,0
"O_AesSens",0,0,0,0,0,0,0,0,0,0,0,0,0.1671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O_CrtvImag",0,0,0,0.146,0,0,0,0,0,0.1513,0,0,0,0.1489,0,0,0.1751,0,0,0,0,0,0.156,0,0,0,0,0,0,0,0.1469
"O_IntCur",0,0,0,0,0,0,0,0,0,0,0,0.1003,0.0868,0.0688,0.0822,0,0.1342,0.0923,0,0.1034,0.0881,0,0,0,0,0,0.0801,0.068,0,0,0.064
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
