"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"E_Scbltylag",1,0.561,0.4271,0.3599,-0.4872,-0.313,-0.0875,0.2822,0.0671,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",0.561,1,0.3283,0.411,-0.5508,-0.437,-0.1899,0.4998,0.4571,0,0,0,0,0,0,0,0,0
"A_Cmpnlag",0.4271,0.3283,1,0.1479,-0.2689,-0.2309,-0.0848,0.1177,0.0899,0,0,0,0,0,0,0,0,0
"A_Rspctlag",0.3599,0.411,0.1479,1,-0.6543,-0.5526,-0.3794,0.4225,0.4852,0,0,0,0,0,0,0,0,0
"N_Deprlag",-0.4872,-0.5508,-0.2689,-0.6543,1,0.799,0.5663,-0.4503,-0.5084,0,0,0,0,0,0,0,0,0
"N_Anxtylag",-0.313,-0.437,-0.2309,-0.5526,0.799,1,0.6062,-0.3826,-0.6191,0,0,0,0,0,0,0,0,0
"N_EmoVollag",-0.0875,-0.1899,-0.0848,-0.3794,0.5663,0.6062,1,-0.2981,-0.4479,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",0.2822,0.4998,0.1177,0.4225,-0.4503,-0.3826,-0.2981,1,0.5402,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",0.0671,0.4571,0.0899,0.4852,-0.5084,-0.6191,-0.4479,0.5402,1,0,0,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0,0.6024,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0.6544,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0.7889,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0,0.8051,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0,0,0,0.5654,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3242,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5944,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6604,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6331
