"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"E_Scblty",0.1779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLev",0,0.1149,0,0,0,0,0,0,0,0.1048,0,0,0,0.1161,0,0,0,0
"A_Cmpn",0,0,0.1548,0,0,0,0,0,0,0,0,0,0.156,0,0,0,0,0
"A_Rspct",0,0,0,0.1142,0,0.1014,0.1123,0,0,0.1002,0,0,0,0,0,0,0,0.1247
"N_Depr",0,0.1815,0,0,0.1833,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,0.1559,0,0,0,0,0.1584,0,0,0,0,0,0,0
"N_EmoVol",0,0,0,0,0,0,0.19,0,0,0,0,0,0.1933,0,0,0,0,0
"C_Prdctv",0,0,0,0,0,0,0,0.1867,0,0,0,0,0.2336,0,0,0,0,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0.1202,0,0,0,0.1361,0.129,0,0,0.1432,0
