"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"E_Scbltylag",1,0.4891,0.0337,0.0295,-0.0388,0.1808,-0.0904,0.3766,0.2469,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",0.4891,1,0.2368,0.0646,-0.0547,0.284,-0.2043,0.2504,0.0936,0,0,0,0,0,0,0,0,0
"A_Cmpnlag",0.0337,0.2368,1,0.1839,0.1769,0.2173,-0.1338,0.0784,0.0983,0,0,0,0,0,0,0,0,0
"A_Rspctlag",0.0295,0.0646,0.1839,1,-0.1778,-0.0354,-0.3277,-0.0115,0.0778,0,0,0,0,0,0,0,0,0
"N_Deprlag",-0.0388,-0.0547,0.1769,-0.1778,1,0.377,0.425,-0.2126,-0.3375,0,0,0,0,0,0,0,0,0
"N_Anxtylag",0.1808,0.284,0.2173,-0.0354,0.377,1,0.2396,-0.0597,0.1528,0,0,0,0,0,0,0,0,0
"N_EmoVollag",-0.0904,-0.2043,-0.1338,-0.3277,0.425,0.2396,1,-0.0453,-0.0436,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",0.3766,0.2504,0.0784,-0.0115,-0.2126,-0.0597,-0.0453,1,0.6156,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",0.2469,0.0936,0.0983,0.0778,-0.3375,0.1528,-0.0436,0.6156,1,0,0,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0,0.8633,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0.6636,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0.8398,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0,0.7386,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0,0,0,0.6435,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7987,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9934,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6001,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9385
