"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"E_Scbltylag",1,0.0962,0.2733,0.0236,-0.2442,-0.0672,-0.1358,0.1055,0.068,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",0.0962,1,-0.1042,-0.0648,-0.2674,-0.0198,-0.2131,0.288,-0.081,0,0,0,0,0,0,0,0,0
"A_Cmpnlag",0.2733,-0.1042,1,0.2177,0.0711,-0.1918,-0.0582,-0.078,-1e-04,0,0,0,0,0,0,0,0,0
"A_Rspctlag",0.0236,-0.0648,0.2177,1,-0.2644,-0.5287,-0.1004,0.2397,-0.0387,0,0,0,0,0,0,0,0,0
"N_Deprlag",-0.2442,-0.2674,0.0711,-0.2644,1,0.1463,0.1851,-0.0395,-0.3043,0,0,0,0,0,0,0,0,0
"N_Anxtylag",-0.0672,-0.0198,-0.1918,-0.5287,0.1463,1,0.0704,-0.1096,0.0702,0,0,0,0,0,0,0,0,0
"N_EmoVollag",-0.1358,-0.2131,-0.0582,-0.1004,0.1851,0.0704,1,-0.1105,-0.0489,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",0.1055,0.288,-0.078,0.2397,-0.0395,-0.1096,-0.1105,1,0.1081,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",0.068,-0.081,-1e-04,-0.0387,-0.3043,0.0702,-0.0489,0.1081,1,0,0,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0,0.7074,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0.7805,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0.7082,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0,0.7247,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6305,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9835,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7886,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9934
