"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"E_Scblty",-0.0868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLev",0,0.0921,0,0,0,0,0,0,0,0,0,0,0.5327,0,0,0,0,0
"A_Cmpn",0,0,0.0108,0,0,0,0,0,0,0,0,0,0,0,0,-0.6646,0,0
"A_Rspct",0,0,0,0.1207,0,0,0,0,0,0,0,0.6448,0,0,0,0,0,0
"N_Depr",0,0,0,0,0.6126,0,0,0,0,0,0,0,0,0,0,0,-0.3414,0
"N_Anxty",0,0,0,0,0,-0.1353,0,0,0,0,0,0,0,0.5528,0,0,0,0
"N_EmoVol",0,0,0,0,0,0,-0.0639,0,0,0,0,0,0,0.7111,0,0,0,0
"C_Prdctv",0,0,0,0,0,0,0,0.0708,0,0,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0,0,0,0,0,0,0,-0.027,0,0,0,0,0,0,0,0.5948,0
