"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"E_Scbltylag",0.9972,0.4904,-0.0137,0.4172,-0.3242,-0.0494,0.1535,0.504,0.4389,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",0.4904,0.9919,0.1654,0.3067,-0.2707,-0.251,0.0527,0.3893,0.1283,0,0,0,0,0,0,0,0,0
"A_Cmpnlag",-0.0137,0.1654,0.9988,0.5624,0.0309,-0.2797,-0.0873,-0.068,0.1114,0,0,0,0,0,0,0,0,0
"A_Rspctlag",0.4172,0.3067,0.5624,1,-0.1088,-0.0759,0.0651,0.0385,0.2723,0,0,0,0,0,0,0,0,0
"N_Deprlag",-0.3242,-0.2707,0.0309,-0.1088,0.9831,0.4357,0.3166,-0.3673,-0.4008,0,0,0,0,0,0,0,0,0
"N_Anxtylag",-0.0494,-0.251,-0.2797,-0.0759,0.4357,0.9269,0.3949,0.175,0.1334,0,0,0,0,0,0,0,0,0
"N_EmoVollag",0.1535,0.0527,-0.0873,0.0651,0.3166,0.3949,0.9983,0.173,-0.0329,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",0.504,0.3893,-0.068,0.0385,-0.3673,0.175,0.173,0.9776,0.4596,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",0.4389,0.1283,0.1114,0.2723,-0.4008,0.1334,-0.0329,0.4596,0.9998,0,0,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0,1.7097,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0.769,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0.6845,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0,0.8135,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0,0,0,0.4829,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7382,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9779,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7965,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6477
