"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"E_Scblty",0.1284,0,0,0,0,0,0,0,0,0,0,0,0,0.1283,0,0,0,0
"E_EnerLev",0,0.118,0,0,0,0,0,0,0,0.1168,0,0,0,0,0,0,0,0
"A_Cmpn",0,0,0.1143,0.1139,0,0,0,0,0,0,0,0,0.1063,0,0,0,0,0
"A_Rspct",0,0,0,0.1345,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Depr",0,0,0,0,0.1347,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,0.1223,0,0,0,0,0,0,0,0.1184,0,0,0,0
"N_EmoVol",0,0,0,0,0,0,0.1068,0,0,0,0,0,0,0,0.1066,0,0,0
"C_Prdctv",0,0,0,0,0,0,0,0.1097,0,0.1094,0,0,0,0,0,0,0,0.1115
"C_Rspnbl",0,0,0,0,0,0,0,0,0.1421,0,0,0,0,0,0,0,0,0
