"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"E_Scbltylag",0.9988,0.1782,0.1124,0.0453,0.0234,-0.0182,-0.1944,0.0214,-0.2414,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",0.1782,0.9999,0.2098,0.3816,-0.0648,0.3368,-0.2432,0.2837,-1e-04,0,0,0,0,0,0,0,0,0
"A_Cmpnlag",0.1124,0.2098,0.9964,0.0957,-0.2,0.274,-0.1831,0.0203,0.4373,0,0,0,0,0,0,0,0,0
"A_Rspctlag",0.0453,0.3816,0.0957,0.9934,-0.2388,0.5098,-0.2477,0.1661,0.2669,0,0,0,0,0,0,0,0,0
"N_Deprlag",0.0234,-0.0648,-0.2,-0.2388,0.9996,-0.1004,0.4234,-0.2186,-0.1942,0,0,0,0,0,0,0,0,0
"N_Anxtylag",-0.0182,0.3368,0.274,0.5098,-0.1004,0.9996,0.1128,-0.0472,0.2692,0,0,0,0,0,0,0,0,0
"N_EmoVollag",-0.1944,-0.2432,-0.1831,-0.2477,0.4234,0.1128,0.9999,-0.5255,-0.2571,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",0.0214,0.2837,0.0203,0.1661,-0.2186,-0.0472,-0.5255,0.9954,0.2555,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",-0.2414,-1e-04,0.4373,0.2669,-0.1942,0.2692,-0.2571,0.2555,0.9964,0,0,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0,0.9817,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0.7722,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0.746,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0,0.8693,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0463,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4978,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5148,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8224,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6446
