"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"E_Scblty",-0.1234,0,0,0,0,0,0,0,0,0,0.7286,0,0,0,0,0,0,0
"E_EnerLev",0,-0.002,0,0.3106,0,0,0.4396,-0.3049,0,0,0,0.5239,0,0,0,0,0,0
"A_Cmpn",0,0,-0.0849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0,0,0.0504,0,0,0,0,0,0.6368,0,0,0,0,0,0,0,0
"N_Depr",0,0,0,-0.3153,-0.1531,0.3513,0,0,0,0,0,0,-0.4644,0,0,0,0,0
"N_Anxty",0,0,0,0,0,0.1528,0,0,0,0,-0.3512,0,0,0,0,0,0,0
"N_EmoVol",0,0,0,0,0,0,-0.078,0,0,0,0,0,-0.4566,0,0,0,0,0
"C_Prdctv",0,0,0,0,0,0,0,0.1046,0,0,0.5045,0,0,0,0,0,0,0
"C_Rspnbl",0,0,0,0,0,0,-0.3915,0,-0.0296,0,0,0,0,0,0,0,0.3668,0
