"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"E_Scbltylag",1,0.3373,0.2185,0.2556,0.0212,0.068,-0.0703,0.1966,-0.093,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",0.3373,1,0.2622,0.1316,-0.1338,-0.1858,-0.1367,0.3759,0.0753,0,0,0,0,0,0,0,0,0
"A_Cmpnlag",0.2185,0.2622,1,0.3221,0.0043,0.0595,-0.2303,-0.1076,0.2785,0,0,0,0,0,0,0,0,0
"A_Rspctlag",0.2556,0.1316,0.3221,1,-0.25,-0.2005,-0.0112,0.0524,0.2028,0,0,0,0,0,0,0,0,0
"N_Deprlag",0.0212,-0.1338,0.0043,-0.25,1,0.3385,0.3854,-0.0787,0.0112,0,0,0,0,0,0,0,0,0
"N_Anxtylag",0.068,-0.1858,0.0595,-0.2005,0.3385,1,0.1593,-0.1654,-0.1638,0,0,0,0,0,0,0,0,0
"N_EmoVollag",-0.0703,-0.1367,-0.2303,-0.0112,0.3854,0.1593,1,-0.1712,-0.125,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",0.1966,0.3759,-0.1076,0.0524,-0.0787,-0.1654,-0.1712,1,0.3485,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",-0.093,0.0753,0.2785,0.2028,0.0112,-0.1638,-0.125,0.3485,1,0,0,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0,0.8605,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0.6358,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0.9896,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0,0.5348,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0,0,0,0.7205,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8617,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7122,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7533,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8992
