"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"E_Scblty",0.3956,0,0,0,0,0,0,0,0,0,0,1.515,0,0,0,0,0.5838,0
"E_EnerLev",0,0.1352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Cmpn",0,0,0.1901,0,0,0,0,0,0,0.5099,0,0,0,0,0,0,0,0
"A_Rspct",0,0.1147,0,0.115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Depr",0,0,0,0,0.1254,0,0,0,0,0,0,0,0,0,0,0,0.1262,0
"N_Anxty",0,0,0,0,0,0.1152,0,0,0,0,0,0.1192,0,0,0,0,0,0.1187
"N_EmoVol",0,0,0,0,0,0,0.1249,0,0,0.1227,0,0,0,0,0,0,0,0
"C_Prdctv",0,0,0,0,0,0,0,0.1162,0,0,0,0,0,0,0,0,0,0.1164
"C_Rspnbl",0,0,0,0,0,0,0,0,0.1343,0,0,0,0,0,0,0,0,0
