"E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl","cumsumT"
45,2,1,0,3,2,3,1,1,0,11,7,0,9,5,3,5,6,2
3,45,2,2,1,2,5,2,1,15,0,7,7,7,2,3,8,4,3
0,0,45,2,0,4,1,0,4,3,5,0,9,5,2,4,3,4,4
0,3,0,45,0,1,4,5,0,10,2,6,0,5,2,6,2,4,4
4,2,5,3,45,4,2,2,4,6,4,1,4,0,9,5,5,7,5
1,1,2,0,2,45,1,2,3,1,5,1,3,13,0,11,1,1,5
1,2,2,0,4,2,45,0,0,4,3,4,5,15,5,0,6,5,2
4,1,3,3,1,3,1,45,3,3,7,1,2,2,3,5,0,16,3
3,2,1,0,1,4,2,3,45,4,3,9,1,3,6,4,12,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
