"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl","cumsumT"
"E_Scblty",-0.1217,0,0,0,0,0,0,0,0,0,0.4127,0,0,0,0,0,0,0,0
"E_EnerLev",0,0.1223,0,0,0,0,0,0,0,0,0,0.508,0,0,0,0,0,0,0
"A_Cmpn",0,0,-0.3224,0,0,0,0,0,0,0,0,0,0,-0.4387,0,0,0,0,0
"A_Rspct",0,0,0,-0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Depr",0,0,0,0,0.1132,0,0,0,0,0,0,0,0,0,0.5936,0,0,0,0
"N_Anxty",0,0,0,0,-0.3807,0.179,0,0,0,0,0,0,0,0,0,0,0,0,0.4269
"N_EmoVol",0,0,0,0,0,0,-0.1626,0,0,0,0,0,0,0,0,0,0,0,0
"C_Prdctv",0,0,0,0,0,0,0,0.0734,0,0,0.2798,0,0,0,0,0,0,0.4493,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0.0656,0,0,0,0,-0.4594,0,0,0,0,0
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
