"","cumsumT","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"cumsumT",1,0.3216,-0.078,-0.2788,-0.1189,0.4071,0.1764,0.5411,-0.1256,0.0567,0,0,0,0,0,0,0,0,0
"E_Scbltylag",0.3216,1,0.3701,0.2712,0.2239,-0.3663,-0.3095,-0.1811,0.2299,0.3132,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",-0.078,0.3701,1,0.1574,0.6684,-0.3914,-0.0893,-0.2746,0.3868,0.2634,0,0,0,0,0,0,0,0,0
"A_Cmpnlag",-0.2788,0.2712,0.1574,1,0.2307,-0.4786,-0.2918,-0.2898,0.1861,0.1235,0,0,0,0,0,0,0,0,0
"A_Rspctlag",-0.1189,0.2239,0.6684,0.2307,1,-0.4668,-0.3422,-0.3566,0.1013,0.499,0,0,0,0,0,0,0,0,0
"N_Deprlag",0.4071,-0.3663,-0.3914,-0.4786,-0.4668,1,0.68,0.6271,-0.4196,-0.2939,0,0,0,0,0,0,0,0,0
"N_Anxtylag",0.1764,-0.3095,-0.0893,-0.2918,-0.3422,0.68,1,0.31,-0.103,-0.5172,0,0,0,0,0,0,0,0,0
"N_EmoVollag",0.5411,-0.1811,-0.2746,-0.2898,-0.3566,0.6271,0.31,1,-0.3865,-0.0639,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",-0.1256,0.2299,0.3868,0.1861,0.1013,-0.4196,-0.103,-0.3865,1,0.1645,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",0.0567,0.3132,0.2634,0.1235,0.499,-0.2939,-0.5172,-0.0639,0.1645,1,0,0,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0,0,0.6466,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0,0.6673,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0,0,0.2925,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0385,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2538,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5867,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5215,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.686
