"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl","cumsumT"
"E_Scblty",0.1115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLev",0,0.1107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Cmpn",0,0,0.0998,0,0,0,0,0,0,0,0,0,0,0.1017,0,0,0.1009,0,0
"A_Rspct",0,0,0,0.1022,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1021,0
"N_Depr",0,0,0,0,0.1004,0.1003,0,0,0,0,0,0,0,0,0.0925,0,0,0,0
"N_Anxty",0,0,0,0,0,0.1122,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_EmoVol",0,0,0,0,0,0,0.0928,0,0,0,0.0928,0,0.0924,0.093,0,0,0,0,0
"C_Prdctv",0.1089,0,0,0,0,0,0,0.1089,0,0,0,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0.1117,0,0,0,0,0,0,0,0,0,0
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
