"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl","cumsumT"
"E_Scblty",-0.0464,0,0,0,0,0,0,0,0,0,0,0.397,0,0,0,0,0,0,0
"E_EnerLev",0,0.0566,0,0,0,0,0,0,0,0.3805,0,0,0,0,0,0,0,0,0
"A_Cmpn",0,0,-0.0911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0,0,-0.0717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Depr",0,0,0,0,0.0454,0,0,0,0,0,-0.3528,0,0,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,-0.0625,0,0,0,0,0,0,0,0,0,0,0,-0.4439,0
"N_EmoVol",0,0,0,0,0,0,0.0415,0,0,0,0.3359,0,0,0.5558,0,0,0,0,0
"C_Prdctv",0,0,0,0,0,0,0,0.0594,0,0,0,0,0,0,0,0,0,0.4582,0
"C_Rspnbl",0,0,0,0,0,0,0,0,-0.198,0,0,0,0,0,0,0,0,0,0
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
