"","cumsumT","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"cumsumT",1,0.047,-0.2401,-0.1477,-0.1806,0.3733,0.3791,0.1008,-0.2166,0.0229,0,0,0,0,0,0,0,0,0
"E_Scbltylag",0.047,1,0.4829,0.3327,0.0989,-0.0024,0.1003,0.0313,0.2236,0.2037,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",-0.2401,0.4829,1,0.4621,0.1765,-0.318,0.0335,-0.1028,0.3159,0.2291,0,0,0,0,0,0,0,0,0
"A_Cmpnlag",-0.1477,0.3327,0.4621,1,0.3356,-0.4195,-0.2226,0.1703,0.2681,0.4331,0,0,0,0,0,0,0,0,0
"A_Rspctlag",-0.1806,0.0989,0.1765,0.3356,1,-0.2033,0.0442,-0.0096,0.208,0.1992,0,0,0,0,0,0,0,0,0
"N_Deprlag",0.3733,-0.0024,-0.318,-0.4195,-0.2033,1,0.5877,0.1924,-0.3637,-0.4682,0,0,0,0,0,0,0,0,0
"N_Anxtylag",0.3791,0.1003,0.0335,-0.2226,0.0442,0.5877,1,0.146,-0.0918,-0.2077,0,0,0,0,0,0,0,0,0
"N_EmoVollag",0.1008,0.0313,-0.1028,0.1703,-0.0096,0.1924,0.146,1,-0.1018,0.0722,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",-0.2166,0.2236,0.3159,0.2681,0.208,-0.3637,-0.0918,-0.1018,1,0.5531,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",0.0229,0.2037,0.2291,0.4331,0.1992,-0.4682,-0.2077,0.0722,0.5531,1,0,0,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0,0,0.8148,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0,0.7444,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0,0.7075,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0,0,0.9971,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6505,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7843,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9736,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6864,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7868
