"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl","cumsumT"
"E_Scblty",-0.2837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3158,0,0
"E_EnerLev",0,-0.0671,0,0,0,0,0,0,0,0,0,0.5577,0,0,0,0,0,0,0
"A_Cmpn",0,0,-0.207,0,0,0,0,0,0,0,0,0,0.568,0,0,0,0,0,0
"A_Rspct",0,0,0,-0.144,0,0,0,0,0,0.3441,0,0,0,0,0,0,0,0,0
"N_Depr",0,0,0,0,0.147,0,0,0,0,0,-0.3435,0,0,0,0,0,0,-0.3881,0.2776
"N_Anxty",0,0,0,0,0,0.0431,0,0,0,0,0,0,0,0.4871,0,0,0,0,0
"N_EmoVol",0,0,0,0,0,0,-0.1882,0,0,0,0,0,0,0.4759,0,0,0,0,0
"C_Prdctv",0,0,0,0,0,0,0,0.0985,0,0,0.3828,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0,0,0,0,0,0,0,-0.2266,0,0,0,0,0,0,0,0.4867,0,0
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
