"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl","cumsumT"
"E_Scblty",0.1443,0,0,0,0.1453,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLev",0,0.1226,0,0.1232,0,0,0,0,0,0.1235,0,0,0,0,0,0,0,0,0
"A_Cmpn",0,0,0.1404,0,0.1409,0,0,0,0,0,0.1393,0,0,0,0,0,0,0,0
"A_Rspct",0,0.1315,0,0.1312,0,0,0.1377,0,0,0.1302,0,0,0,0,0,0,0,0,0
"N_Depr",0.1485,0,0,0,0.1495,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,0.153,0,0,0,0.1492,0,0,0,0,0,0,0,0,0
"N_EmoVol",0.1415,0,0,0,0,0,0.1438,0,0,0,0.1401,0,0,0,0,0,0,0,0.1412
"C_Prdctv",0,0,0,0,0,0,0.1435,0.1388,0,0,0,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0.1422,0,0,0,0,0,0,0.1449,0,0,0,0,0,0,0,0.1437,0,0
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
