"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl","cumsumT"
"E_Scblty",0.1088,0,0,0,0,0,0,0,0,0,0,0,0,-0.4586,0,0,0,0,0
"E_EnerLev",-0.3532,0.1955,0,0,0,0,0,0,0,0,0,0,0,0,-0.3331,0,0,0,0
"A_Cmpn",0,0,-0.0614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0,0,-0.0882,0,0,0,0,0,0,0.4454,0,0,0,0,0,0,0,0
"N_Depr",0,0,0,0,0.1313,0,0,0,0,0,-0.7475,0,0,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,0.3118,0,0,0,0,0,-0.3146,0,0,0,0,0,-0.5426,0
"N_EmoVol",0,0,0,0,0,0,-0.0059,0,-0.229,0,-0.4459,0,0,0.3521,0,0,0,0,-0.2977
"C_Prdctv",0,0,0,0,0,0,0,-1.2602,0,0,0,0,0,0,0,0,0,-2.7475,0
"C_Rspnbl",0,0,0,0,0,0,0,0,-0.525,0,0,0,0,0,0,0,1.3892,0,0
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
