"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl","cumsumT"
"E_Scblty",-0.0412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3383,0
"E_EnerLev",0,-0.1194,0,0,0,0,0,0,0,0,0,0,0,-0.5106,0,0,0,0,0
"A_Cmpn",0,0,-0.0441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0,0,0.067,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0
"N_Depr",0,0,0,0,-0.0463,0,0,0,0,0,0,-0.4545,0,0,0,0.4124,0,0,0.3979
"N_Anxty",0,0,0,0,0,-0.0508,0,0,0,0,0,0,0,0,0,0.3854,0,0,0
"N_EmoVol",0,0,0,0,0,0,0.0889,0,0,-0.3866,0.4006,0,0,0,0,0,0,0,0
"C_Prdctv",0,0,0,0,0,0,0,0.0432,0,0,0,0,0,0,0,0,0,0.5786,0
"C_Rspnbl",0,0,0,0,0,0,0,0,-0.148,0,0,0,0,0,0,0,0,0,0
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
