"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl","cumsumT"
"E_Scblty",0.1192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLev",0,0.0887,0.0898,0,0,0,0.0916,0,0,0.0897,0,0,0,0,0.0916,0,0,0,0
"A_Cmpn",0,0,0.114,0,0,0,0,0,0,0.1141,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0,0,0.1092,0.1083,0,0,0,0,0,0,0.1066,0,0,0,0,0,0,0
"N_Depr",0,0,0,0,0.1134,0,0,0,0,0,0,0,0,0,0,0.1124,0,0,0
"N_Anxty",0,0,0,0,0,0.1073,0,0,0,0,0,0.1057,0,0.1061,0,0,0,0,0
"N_EmoVol",0,0,0,0,0,0,0.117,0,0,0,0,0,0.1155,0,0,0,0,0,0
"C_Prdctv",0,0.1155,0,0,0,0,0,0.1155,0,0,0,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0.1122,0,0.1123,0,0,0,0,0,0,0,0
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
