"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl","cumsumT"
"E_Scblty",-0.0278,0,0,0,0,0,0,0,0.269,0,0.5362,0,0,0,0,0,0,0,0
"E_EnerLev",0,-0.0513,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4696,-0.2816,0,0
"A_Cmpn",0,0,-0.0841,0,0,0,0,0,0,-0.2861,0,0,0,-0.5601,0,0,0,0,0
"A_Rspct",0,0,0,0.0353,0,0,0,0,0,0,0.55,0.4062,0,0,0,0,0,0,0
"N_Depr",0,0,0,0,-0.2187,0.3337,0,0,0,0,0,0,0,0,0.5605,0,0,0,0
"N_Anxty",0,0,0,0,0,-0.0865,0.3346,0,0,0,0,0,0,0,0,0.4506,0,0,0
"N_EmoVol",0,0,0,0,0,0,0.2218,0,0,0,0,0,0,0,0,0,0,0,0
"C_Prdctv",0,0,0,0,0,0,0,-0.0133,0,0,0,1.2819,0,0,0,0,0,-1.6682,0
"C_Rspnbl",0,0,0,0,0,0,0,0,-0.2517,0,0,0,0,0,0,0,1.1221,0,0
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
