"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl","cumsumT"
"E_Scblty",0.0659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLev",0,-0.0346,0,0,0,0,0,0,0,0,0,-0.7709,0,0,0,0,0,0,-0.4746
"A_Cmpn",0,0,0.2025,0,0,0,0,0.3537,0,-0.3528,0,0,0,0,0,0,0,-0.8219,0
"A_Rspct",0,0,0,0.0085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Depr",0,0,0,0,-0.1148,0,0,0,0,0,-0.7415,0,0,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,0.5889,0,0,0.8234,0,-0.5981,0,0,0,0,0,0.3786,0,0
"N_EmoVol",0,0,0,0.3027,0,0.4676,-0.3929,0,0,0,0,0,0,0.5657,0,0,0,0,0
"C_Prdctv",0,0,0,-0.3733,0,0,0,0.0945,0,0,0,0,0.7413,0,0,-0.3605,0,0,0
"C_Rspnbl",1.0327,0,1.8009,0,-0.3001,-1.0028,0,0,0.9685,0,0,0,0.2499,0,0,0.4739,0,0,0.1293
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
