"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl","cumsumT"
"E_Scblty",0.155,0,0,0,0,0,0,0,0,0,0,0,0,0.1551,0,0,0,0,0
"E_EnerLev",0.1558,0.157,0,0,0,0,0,0,0,0,0,0,0,0,0.1474,0,0,0,0
"A_Cmpn",0,0,0.1716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0,0,0.1415,0,0,0,0,0,0,0.1415,0,0,0,0,0,0,0,0
"N_Depr",0,0,0,0,0.1087,0,0,0,0,0,0.1086,0,0,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,0.1284,0,0,0,0,0,0.1309,0,0,0,0,0,0.1275,0
"N_EmoVol",0,0,0,0,0,0,0.095,0,0.0918,0,0.1391,0,0,0.1416,0,0,0,0,0.0957
"C_Prdctv",0,0,0,0,0,0,0,1.4559,0,0,0,0,0,0,0,0,0,3.4676,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0.2501,0,0,0,0,0,0,0,0.6259,0,0
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
