"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl","cumsumT"
"E_Scblty",-0.0524,0,0,0,0,0,0,0,0,0,0,0,0,-0.3152,0,0,0.334,0,0
"E_EnerLev",0,0.0279,0,0,0,0,0,0,0,0.3066,0,0,0,0,0,0,0,0,0
"A_Cmpn",0,0,-0.0036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.351,0
"A_Rspct",0,0,0,0.1414,0,0,0,0,0,0.3302,0,0,0,0,0,0,0,0,0
"N_Depr",0,0,0,0,0.1232,0,0,0,0,0,0,0,0,0,0.4808,0,0,0,0
"N_Anxty",0,0,0,-0.2169,0,-0.1006,0,0,0,0,0,0,0,0,0,0.6114,0,-0.2397,0
"N_EmoVol",0,0,0,0,0,0,0.3578,0,0,0,0,-0.3816,0,0,0,0,0,0,0
"C_Prdctv",0,0,0,0,0,0,0,0.0536,0,0,0,0,0,0,0,0,0,0,0.3176
"C_Rspnbl",0,0.3067,0,0,0,0,0,0,-0.1711,0,0,0,0,0,0,0,0,0,0
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
