"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl","cumsumT"
"E_Scblty",0.1254,0,0,0,0,0,0,0,0,0,0.1244,0,0,0,0,0,0,0,0
"E_EnerLev",0,0.114,0,0,0,0,0,0,0,0,0,0,0,0.1169,0,0,0.1201,0.12,0
"A_Cmpn",0,0,0.1271,0,0,0,0,0,0,0,0,0,0.1284,0,0,0,0,0,0
"A_Rspct",0,0,0,0.1379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Depr",0,0,0,0,0.1297,0,0,0,0,0,0,0,0,0,0.1292,0,0,0,0
"N_Anxty",0,0,0,0,0,0.118,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_EmoVol",0,0,0,0,0,0,0.1225,0,0,0,0,0.122,0,0.1213,0,0,0,0,0
"C_Prdctv",0,0,0,0,0,0,0,0.1335,0,0,0,0,0,0.1337,0,0,0,0,0
"C_Rspnbl",0,0,0.1287,0,0,0,0,0,0.1287,0,0,0.1241,0,0,0,0,0,0,0
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
