"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl","cumsumT"
"E_Scblty",0.0222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLev",0,-0.1993,0,0,0,0,0,0,0,0.6299,0,0,0,0,0,0,0,0,0
"A_Cmpn",0,0,0.0828,0,0,0,0,0,0,0.5256,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0,0,-0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6156
"N_Depr",0,0,0,0,-0.1697,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0.7068,0.1627,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_EmoVol",0,0,0,0,0,0,0.1848,0,0.4902,0,0,-0.4811,0,0,0,0,0,0,0
"C_Prdctv",0,0,0,0,0,0,0,0.0788,0,0,0,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0,0,0,0,0,0,0,-0.2081,0,0,0.6287,0,0,0,0,0,0,0
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
