"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl","cumsumT"
"E_Scblty",-0.1561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLev",0.3471,-0.334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4704,0,0
"A_Cmpn",0,0,-0.1083,0,0,0,0,0.328,0,0,0,0,0,0,0,0,0,0.4009,0
"A_Rspct",0,0,0,0.0615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Depr",0,0,0,0,-0.0852,0,0,0,0,0,0,0,0,0,0.5356,0,0,0,0
"N_Anxty",0,0,0,0,0,0.0161,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_EmoVol",0,0,0,0,0,0,-0.0217,0,0,0,0,0,0,0,0,0,0,0,0
"C_Prdctv",0,0,0,0.3601,0,0,0,0.1323,0,0,0,0,0,0,0,0,0,0,0
"C_Rspnbl",0.5346,0,0,0,0,0,0,0,0.1834,0,0,0,0,0,0,0,0,0,0
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
