"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl","cumsumT"
"E_Scblty",0.1287,0,0.1217,0,0,0,0,0,0,0,0.1187,0,0,0,0,0,0,0,0
"E_EnerLev",0,0.1461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Cmpn",0,0,0.113,0,0,0,0,0,0,0,0,0,0.112,0,0,0,0,0.113,0
"A_Rspct",0,0,0,0.1437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1478
"N_Depr",0,0,0,0,0.1444,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1485
"N_Anxty",0,0,0,0.1151,0,0.1172,0,0,0,0,0,0,0,0.1165,0,0,0,0,0
"N_EmoVol",0,0,0,0,0,0,0.134,0,0,0,0,0,0,0.1341,0,0,0,0,0
"C_Prdctv",0,0,0,0,0,0,0,0.1396,0,0,0,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0,0,0,0.1312,0,0,0,0.1312,0,0,0,0,0,0,0,0,0,0
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
