"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl","cumsumT"
"E_Scblty",-0.1297,0,0,0,0,0,0,0,0,0,0.666,0,0,0,0,0,0,0,0
"E_EnerLev",0,-0.1352,0,0,0,0,0,0,0,0,0,0,0,0,-0.4055,0,0,0,0
"A_Cmpn",0,0,0.0709,0,0,0,0,0,0,0,0.3856,0,0,0,0,0,0,0,0
"A_Rspct",0,0,0,0.0679,0,0,0,0,0,0.4975,0,0,0,0,0,0,0,0,0
"N_Depr",0,0,0,-0.2909,-0.1272,0.3367,0,0,0,-0.5231,0,0,0,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,0.1998,0,0,0,0,0,0,0,0,0,0,-0.4436,0,0
"N_EmoVol",0,0,0,0,0,0,0.0243,0,0,0,0,0,0,0,0.4485,0,0,0,0
"C_Prdctv",0,0,0,0,0,0,0,-0.0525,0,0,0,0,0,0,0,0,0,0,-0.4013
"C_Rspnbl",0,0,0,0,0,0,-0.4453,0,-0.0855,0,0.2847,0,0,0,0,0,0,0,0
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
