"","cumsumT","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"cumsumT",1,-0.265,-0.251,0.1588,-0.2557,0.2344,0.2419,0.3111,-0.1068,-0.1591,0,0,0,0,0,0,0,0,0
"E_Scbltylag",-0.265,1,0.5682,0.1569,0.51,-0.236,-0.1157,-0.182,0.2539,0.3246,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",-0.251,0.5682,1,0.2957,0.322,-0.3425,-0.2662,-0.2629,0.3808,0.4429,0,0,0,0,0,0,0,0,0
"A_Cmpnlag",0.1588,0.1569,0.2957,1,0.3051,-0.1918,-0.1981,-0.0644,0.4789,0.4184,0,0,0,0,0,0,0,0,0
"A_Rspctlag",-0.2557,0.51,0.322,0.3051,1,-0.177,-0.0602,-0.2195,0.2693,0.2564,0,0,0,0,0,0,0,0,0
"N_Deprlag",0.2344,-0.236,-0.3425,-0.1918,-0.177,1,0.4235,0.5972,-0.3355,-0.3506,0,0,0,0,0,0,0,0,0
"N_Anxtylag",0.2419,-0.1157,-0.2662,-0.1981,-0.0602,0.4235,1,0.4847,-0.2086,-0.4562,0,0,0,0,0,0,0,0,0
"N_EmoVollag",0.3111,-0.182,-0.2629,-0.0644,-0.2195,0.5972,0.4847,1,-0.41,-0.3448,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",-0.1068,0.2539,0.3808,0.4789,0.2693,-0.3355,-0.2086,-0.41,1,0.4209,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",-0.1591,0.3246,0.4429,0.4184,0.2564,-0.3506,-0.4562,-0.3448,0.4209,1,0,0,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0,0,0.7938,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0,0.5829,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0,0.804,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0,0,0.7249,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7409,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8767,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5465,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6504,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7629
