"","cumsumT","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"cumsumT",1,-0.097,0.0072,-0.0431,-0.0349,-0.3139,-0.1081,-0.0124,0.2309,-0.0996,0,0,0,0,0,0,0,0,0
"E_Scbltylag",-0.097,1,0.156,-0.0411,-0.1234,0.1118,0.0482,0.1535,0.1224,-0.1295,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",0.0072,0.156,1,0.102,-0.1628,9e-04,-0.0363,0.016,0.4704,0.3529,0,0,0,0,0,0,0,0,0
"A_Cmpnlag",-0.0431,-0.0411,0.102,1,0.111,0.0843,0.1146,-0.0791,0.0757,0.4195,0,0,0,0,0,0,0,0,0
"A_Rspctlag",-0.0349,-0.1234,-0.1628,0.111,1,0.0855,-0.0137,0.0337,-0.0901,0.196,0,0,0,0,0,0,0,0,0
"N_Deprlag",-0.3139,0.1118,9e-04,0.0843,0.0855,1,0.5299,0.2971,-0.2505,-0.0571,0,0,0,0,0,0,0,0,0
"N_Anxtylag",-0.1081,0.0482,-0.0363,0.1146,-0.0137,0.5299,1,0.2638,-0.243,-0.0534,0,0,0,0,0,0,0,0,0
"N_EmoVollag",-0.0124,0.1535,0.016,-0.0791,0.0337,0.2971,0.2638,1,-0.0605,-0.0659,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",0.2309,0.1224,0.4704,0.0757,-0.0901,-0.2505,-0.243,-0.0605,1,0.2872,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",-0.0996,-0.1295,0.3529,0.4195,0.196,-0.0571,-0.0534,-0.0659,0.2872,1,0,0,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0,0,0.9756,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0,0.5933,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0,0.699,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0,0,0.9962,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7066,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9997,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9995,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8614,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.706
