"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl","cumsumT"
"E_Scblty",0.1204,0,0,0,0,0,0,0,0,0,0.121,0,0,0,0,0,0,0,0
"E_EnerLev",0,0.1409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1409,0,0
"A_Cmpn",0,0,0.147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspct",0.1218,0,0,0.1169,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0
"N_Depr",0,0,0,0,0.149,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,0.1292,0.1291,0,0,0,0.1297,0,0,0,0,0,0,0,0
"N_EmoVol",0,0,0,0,0,0,0.1348,0,0,0,0,0,0,0.135,0,0,0,0,0
"C_Prdctv",0,0,0,0.1218,0,0.1237,0,0.1237,0.1252,0,0,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0.1495,0,0,0,0,0,0,0,0,0,0
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
