"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl","cumsumT"
"E_Scblty",0.1314,0,0,0,0,0,0,0,0.1245,0,0,0,0.1214,0.1106,0,0,0,0,0
"E_EnerLev",0,0.1372,0,0,0,0,0,0,0,0,0,0,0.1353,0.1396,0.1398,0,0,0,0
"A_Cmpn",0,0,0.204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0,0,0.2012,0,0,0,0,0,0,0,0.2074,0,0,0,0,0.2454,0,0
"N_Depr",0,0,0,0,0.1776,0,0,0,0,0,0,0.1576,0,0,0,0.168,0,0,0
"N_Anxty",0,0,0,0,0,0.1701,0,0,0,0.1873,0,0,0,0,0,0,0,0.2041,0
"N_EmoVol",0,0,0.1773,0,0,0,0.1762,0,0,0,0,0,0,0,0,0,0,0,0
"C_Prdctv",0.1237,0,0.1198,0.1105,0,0.0935,0.1102,0.0999,0,0,0,0,0.0978,0,0.1099,0,0,0,0
"C_Rspnbl",0,0,0,0.1271,0,0,0,0,0.1241,0,0,0,0,0.121,0,0,0.1227,0,0
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
