"","cumsumT","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"cumsumT",1,-0.0113,0.0943,-0.1239,-0.2593,0.1436,-0.0495,0.0167,0.0087,-0.0377,0,0,0,0,0,0,0,0,0
"E_Scbltylag",-0.0113,1,0.5303,0.0211,0.2086,-0.5596,-0.5533,-0.4382,0.0849,-0.03,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",0.0943,0.5303,1,0.2475,0.442,-0.7067,-0.5108,-0.4809,0.1896,0.2045,0,0,0,0,0,0,0,0,0
"A_Cmpnlag",-0.1239,0.0211,0.2475,1,0.4184,-0.2508,-0.0568,-0.3305,0.0602,0.1733,0,0,0,0,0,0,0,0,0
"A_Rspctlag",-0.2593,0.2086,0.442,0.4184,1,-0.3955,-0.1269,-0.3174,0.0916,0.1593,0,0,0,0,0,0,0,0,0
"N_Deprlag",0.1436,-0.5596,-0.7067,-0.2508,-0.3955,1,0.6677,0.6586,-0.4362,-0.1806,0,0,0,0,0,0,0,0,0
"N_Anxtylag",-0.0495,-0.5533,-0.5108,-0.0568,-0.1269,0.6677,1,0.5772,-0.255,-0.1001,0,0,0,0,0,0,0,0,0
"N_EmoVollag",0.0167,-0.4382,-0.4809,-0.3305,-0.3174,0.6586,0.5772,1,-0.2201,-0.0763,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",0.0087,0.0849,0.1896,0.0602,0.0916,-0.4362,-0.255,-0.2201,1,0.3577,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",-0.0377,-0.03,0.2045,0.1733,0.1593,-0.1806,-0.1001,-0.0763,0.3577,1,0,0,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0,0,0.971,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0,0.6593,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0,0.8342,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0,0,0.7788,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4919,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5393,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5326,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7653,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9753
