"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl","cumsumT"
"E_Scblty",0.1733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLev",0,0.1344,0,0.1306,0,0,0,0,0,0.1268,0,0,0,0,0.1318,0,0,0,0.1311
"A_Cmpn",0,0,0.1853,0,0,0,0,0,0,0.1933,0,0,0,0,0,0,0.2379,0,0
"A_Rspct",0.1143,0,0,0.1207,0,0.1148,0.1126,0,0,0,0.1224,0,0,0,0,0,0,0,0
"N_Depr",0,0,0,0,0.1488,0,0,0,0,0,0.158,0,0,0,0,0,0.1916,0,0
"N_Anxty",0,0,0,0,0,0.1618,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_EmoVol",0,0,0,0,0,0,0.1703,0,0,0,0,0,0,0,0,0,0,0,0
"C_Prdctv",0,0,0,0,0.1677,0,0,0.1614,0,0,0,0,0,0,0,0,0,0.1978,0
"C_Rspnbl",0.1815,0,0,0,0,0,0.18,0,0.1769,0,0,0.2168,0,0.2233,0,0,0,0,0
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
