"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl","cumsumT"
"E_Scblty",-0.0227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLev",0,5.0328,0,0,0,0,0,0,0,0,0,0,0,10.9303,0,0,0,0,-4.5423
"A_Cmpn",0,0.4558,-0.0758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0,0,-0.1019,0,0,0,0,0,0,0,0,0,0,0,-0.4173,0,0.4055,0
"N_Depr",0,0,0,0,0.7229,0,0,0,0,0,-1.2873,0,0,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,-0.222,0,-0.375,0,0,0,0,0,0.5742,0,0,0,0,0
"N_EmoVol",0,0,0,0,0,0,0.1033,0,0,0,0,0,0,0,0.6384,0,0,0,0
"C_Prdctv",0,0,0,0,0,0,0,0.0628,0,0,0,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0,0,0,0,0,0,0.6229,-0.2012,0,0,0,0,0,0,0,0.4009,0,0
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
