"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl","cumsumT"
"E_Scblty",-0.1049,0.4192,0,0,0,0,0,0,0,0,0,0,0,-0.3654,0,0,0,0,0
"E_EnerLev",0,-0.2193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.387,0,0
"A_Cmpn",0,0,-0.3467,0,0,0,0,0,-0.4368,0,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0,0,-0.0673,0,0,0,-0.3013,0,0,0,0,0,0,0,-0.4189,0,0,0
"N_Depr",0,0,0,0,-0.0908,0,0,0,0,0,0,0,-0.356,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,-0.2839,0,0,0,0,0,0,-0.5153,0,0,0,0,0,-0.3082
"N_EmoVol",0,0,0,0,0,0,-0.1642,0,0,0,0,0,0,0,0,0,0,0,0
"C_Prdctv",-0.3412,0,0,0,0,0.3639,0,0.0409,0,0,0,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0.0788,0,0,0,0,0,0,0,0,0,0
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
