"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl","cumsumT"
"E_Scblty",0.1352,0,0,0,0,0,0,0,0,0,0.4013,0,0,0,0,0,0,0,0
"E_EnerLev",-0.2809,0.0047,0,0,0,-0.2945,0,0,0,0,0,0.2915,0,0,0,0,0.5012,0,0
"A_Cmpn",0,0,0.1056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0,0,-0.3871,0,0,-0.3304,0,0,0,0,0.3643,0,-0.2513,0,0,0,0,0
"N_Depr",0,0,0,0,0.2857,0,0,0.3458,-0.4553,0,0,0,0,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0.3223,-0.2553,0,0,0,0,0,0,0,0.2907,0,0,0,0,0
"N_EmoVol",-0.3861,0,0,0,0,0,0.0235,0,0,0,0,0,0,0.4184,0,0,0,0,0
"C_Prdctv",0,0,0,0,0,0,0,-0.2725,0,0,0,0,0,0,0,0,0,0.4284,0
"C_Rspnbl",0,0,0,0,0,0.3293,0,0,0.0951,0,0,0,0,0,0,0,0,0,0
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
